SO,Date,Sl,Location,F-Use,F-SubCode,F-SubUse,T-Use,T-SubCode,T-SubUse,Area,Zone
458,28.03.2007,(i),"In sub-zone D-13, Area bounded by Railway area in North",G,2,Govt. Office,R,,,19.53,D
458,28.03.2007,(ii),"In sub-zone D-13, Netaji Nagar in the East, 24m R/W Road and Part of Ring Road In the South, Shantipath (45.72m R/W) In the west ",G,2,Govt. Office,C,,,1.62,D
1103,05.07.2007,0,Land at Kasturba Gandhi Marg (Curzon Road),R,,,G,2,Govt. Office,2.328,D
1351,02.08.2007,0,"Land at plot no. 12, Rajpur Road",R,,,PS,,Military Law Institute,4.4,C
1748,12.10.2007,0,Land in Buland Masjid area (Shastri Park Extension),A,,,PS,,,1.7,O
1907,12.11.2007,0,"Land  at Rouse Avenue, DDU Marg",G,2,Govt. Office,R,,Official residence of PM,0.8,D
2187,27.12.2007,0,Land  of Race Course Road (45 m R/W),T,3,Circulation Road,R,,Official residence of PM,1.9668,D
272,07.02.2008,0,"ITPO,   Pragati Maidan",P,,,G,2,Govt. Office,4.876,D
273,07.02.2008,0,"R.K. Puram, Sector-II ",P,2,District Park,R,,,2.21,F
274,07.02.2008,(i),Adjacent to Delhi High Court at Bapa Nagar,R,,,G,2,Govt. Office/ Courts,0.9648,D
274,07.02.2008,(ii),Adjacent to Delhi High Court at Bapa Nagar,R,,,G,2,Govt. Office/ Courts,0.3334,D
1134,14.05.2008,0,Adjacent to Raj Nagar  and Sarojini Nagar,P,2,District Park,R,,Students Hostel/ Staff Quarters,1.7,D
1168,16.05.2008,0,CRRI on Mathura adjacent to Kalindi Colony,P,2,District Park,R,,for CRRI campus,3.157,F
1169,16.05.2008,0,Rangpuri (Vasant Kunj) in South Delhi –II,A,,Rural,G,3,undetermined (for defence purpose),12.15,J
1542,24.06.2008,(i),"Sector D-1 & D-II,Vasant  Kunj",A,,Rural,PS,,"Institute of Liver & Biliary Sciences, including internal road circulation",6.2,J
1542,24.06.2008,(ii),"Sector D-1 & D-II,Vasant  Kunj",A,,Rural,P,,Sports Complex,0.3,J
1617,03.07.2008,(i),"Land in Sector-10,  Dwarka",R,,Housing Aea Activities,G,,"District Court, Dwarka for c/o Lawyers Chambers and Malkhana",0.6172,K-II
1617,03.07.2008,(ii),"Land in Sector-10,  Dwarka",C,,Community Centre,PS,,,0.814,K-II
2113,27.08.2008,0,"Land at 24, Tilak Marg",PS,,,G,2,Govt. office,1.04,D
43,06.01.2009,0,Land at Badarpur,P,2,District Park,PS,,Burial Ground,0.3923,F
141,14.01.2009,0,Land in Vasant Vihar,R,,,PS,,,0.8208,F
510,19.02.2009,0,Land in Chanakyapuri,R,F,Foreign Mission,PS,,Socio-Cultural,0.9666,D
1334,22.05.2009,0,Land in Madanpur Khadar,A,,,PS,,Graveyard,1.05,O
